item_name,category,order_count
Hamburger,American,622
Edamame,Asian,620
Korean Beef Bowl,Asian,588
Cheeseburger,American,583
French Fries,American,571
Tofu Pad Thai,Asian,562
Steak Torta,Mexican,489
Spaghetti & Meatballs,Italian,470
Mac & Cheese,American,463
Chips & Salsa,Mexican,461
Orange Chicken,Asian,456
Chicken Burrito,Mexican,455
Eggplant Parmesan,Italian,420
Chicken Torta,Mexican,379
Spaghetti,Italian,367
Chicken Parmesan,Italian,364
Pork Ramen,Asian,360
Mushroom Ravioli,Italian,359
California Roll,Asian,355
